task_id,date,rater,correct_answer_3,correct_answer_5,rater_answer_3,rater_answer_5,rater_correct_3,rater_correct_5
7175,26/10/2005,B,High,Okay,High,Okay,True,True
5848,05/10/2005,C,Low,Exceptional,Average,Okay,False,False
5045,06/10/2005,B,Average,Exceptional,High,Exceptional,False,True
8585,17/10/2005,E,Average,Great,High,Intermediate,False,False
3488,28/10/2005,B,High,Intermediate,Average,Intermediate,False,True
9753,29/10/2005,C,Average,Bad,High,Intermediate,False,False
9880,20/10/2005,A,High,Okay,Average,Great,False,False
6095,08/10/2005,D,Average,Bad,High,Intermediate,False,False
3975,27/10/2005,B,High,Exceptional,Average,Intermediate,False,False
6946,13/10/2005,B,Average,Bad,Low,Okay,False,False
4330,29/10/2005,A,Average,Exceptional,Average,Intermediate,True,False
7040,24/10/2005,B,Average,Okay,Average,Okay,True,True
2903,24/10/2005,A,High,Okay,High,Okay,True,True
3840,03/10/2005,B,High,Okay,Low,Bad,False,False
625,12/10/2005,E,High,Exceptional,Low,Bad,False,False
2893,29/10/2005,B,Low,Okay,Low,Intermediate,True,False
2764,24/10/2005,A,Low,Okay,Low,Great,True,False
4666,12/10/2005,D,High,Great,High,Okay,True,False
2728,16/10/2005,E,High,Bad,Average,Exceptional,False,False
4199,14/10/2005,C,Low,Okay,High,Okay,False,True
9413,04/10/2005,D,High,Great,High,Bad,True,False
8673,29/10/2005,B,Low,Bad,Average,Great,False,False
4200,22/10/2005,B,High,Great,High,Intermediate,True,False
9993,09/10/2005,B,High,Intermediate,Low,Bad,False,False
247,13/10/2005,A,Average,Exceptional,Average,Great,True,False
1799,04/10/2005,B,Low,Great,Average,Okay,False,False
2113,15/10/2005,C,High,Great,High,Great,True,True
3525,19/10/2005,D,Low,Exceptional,Average,Exceptional,False,True
6257,30/10/2005,E,Average,Okay,Low,Exceptional,False,False
1201,18/10/2005,C,Low,Okay,Low,Bad,True,False
1869,16/10/2005,D,High,Great,High,Exceptional,True,False
6605,08/10/2005,D,Average,Okay,Low,Intermediate,False,False
6502,23/10/2005,A,Average,Bad,High,Intermediate,False,False
5440,03/10/2005,C,Low,Bad,Low,Great,True,False
2432,22/10/2005,E,Low,Okay,Low,Great,True,False
3541,30/10/2005,C,High,Intermediate,Low,Great,False,False
3762,13/10/2005,C,Average,Bad,Average,Exceptional,True,False
4736,25/10/2005,E,High,Exceptional,High,Okay,True,False
8050,09/10/2005,C,Average,Bad,Average,Bad,True,True
4784,19/10/2005,D,High,Bad,High,Okay,True,False
9593,06/10/2005,E,High,Exceptional,Low,Okay,False,False
4086,24/10/2005,A,High,Great,Average,Intermediate,False,False
4220,06/10/2005,E,Low,Okay,High,Exceptional,False,False
7470,26/10/2005,C,High,Okay,High,Exceptional,True,False
4264,03/10/2005,E,High,Great,Low,Bad,False,False
925,24/10/2005,B,Low,Intermediate,High,Great,False,False
9709,28/10/2005,E,Average,Intermediate,Average,Great,True,False
1717,21/10/2005,C,Low,Okay,Average,Great,False,False
9998,20/10/2005,D,Average,Okay,Average,Exceptional,True,False
596,09/10/2005,A,High,Intermediate,Average,Exceptional,False,False
6106,20/10/2005,A,Average,Bad,High,Great,False,False
4594,06/10/2005,B,High,Intermediate,High,Okay,True,False
