task_id,date,rater,correct_answer_3,correct_answer_5,rater_answer_3,rater_answer_5,rater_correct_3,rater_correct_5
9638,2005-06-06 00:00:00,E,Average,Great,Average,Bad,True,False
5806,2005-06-09 00:00:00,D,Average,Great,Average,Intermediate,True,False
7126,2005-06-14 00:00:00,D,Average,Bad,Average,Okay,True,False
6914,2005-06-26 00:00:00,B,Low,Great,Average,Okay,False,False
3756,2005-06-07 00:00:00,A,Average,Great,Low,Okay,False,False
3906,2005-06-01 00:00:00,A,Low,Bad,Low,Bad,True,True
7089,2005-06-02 00:00:00,D,Average,Okay,Low,Intermediate,False,False
3081,2005-06-24 00:00:00,C,Average,Bad,Average,Intermediate,True,False
9986,2005-06-04 00:00:00,D,Low,Great,Average,Great,False,True
5025,2005-06-08 00:00:00,E,Average,Okay,Low,Intermediate,False,False
6705,2005-06-22 00:00:00,A,Average,Bad,Low,Bad,False,True
4637,2005-06-29 00:00:00,E,Average,Great,Average,Bad,True,False
8778,2005-06-22 00:00:00,D,Low,Bad,Average,Great,False,False
8123,2005-06-25 00:00:00,B,Average,Okay,Average,Intermediate,True,False
8768,2005-06-24 00:00:00,E,Average,Great,Average,Intermediate,True,False
4185,2005-06-22 00:00:00,C,Average,Intermediate,Low,Bad,False,False
6941,2005-06-23 00:00:00,A,Low,Great,Low,Intermediate,True,False
3000,2005-06-08 00:00:00,E,Average,Great,Low,Okay,False,False
1026,2005-06-15 00:00:00,A,Low,Bad,Average,Intermediate,False,False
3865,2005-06-26 00:00:00,A,Average,Intermediate,Average,Bad,True,False
2547,2005-06-11 00:00:00,C,Low,Intermediate,Low,Okay,True,False
8665,2005-06-06 00:00:00,B,Average,Okay,Low,Great,False,False
184,2005-06-11 00:00:00,E,Low,Great,Average,Bad,False,False
7672,2005-06-25 00:00:00,C,Average,Bad,Low,Bad,False,True
2949,2005-06-03 00:00:00,D,Low,Okay,Low,Okay,True,True
2267,2005-06-24 00:00:00,B,Average,Bad,Low,Okay,False,False
9830,2005-06-18 00:00:00,E,Low,Okay,Low,Bad,True,False
6889,2005-06-25 00:00:00,B,Average,Okay,Low,Bad,False,False
8163,2005-06-07 00:00:00,A,Low,Great,Low,Okay,True,False
5596,2005-06-01 00:00:00,C,Average,Okay,Low,Great,False,False
4218,2005-06-03 00:00:00,A,Average,Okay,Low,Intermediate,False,False
4819,2005-06-20 00:00:00,B,Average,Okay,Average,Intermediate,True,False
152,2005-06-25 00:00:00,E,Average,Intermediate,Low,Great,False,False
493,2005-06-13 00:00:00,D,Average,Bad,Average,Okay,True,False
4938,2005-06-07 00:00:00,D,Average,Bad,Average,Intermediate,True,False
3456,2005-06-29 00:00:00,C,Average,Intermediate,Low,Bad,False,False
9825,2005-06-25 00:00:00,D,Average,Intermediate,Low,Intermediate,False,True
1950,2005-06-22 00:00:00,D,Low,Okay,Average,Intermediate,False,False
4418,2005-06-15 00:00:00,B,Average,Bad,Low,Great,False,False
7031,2005-06-21 00:00:00,D,Low,Okay,Average,Okay,False,True
902,2005-06-01 00:00:00,B,Average,Great,Average,Great,True,True
1740,2005-06-25 00:00:00,D,Low,Intermediate,Low,Intermediate,True,True
341,2005-06-28 00:00:00,E,Low,Great,Average,Intermediate,False,False
3422,2005-06-23 00:00:00,A,Low,Bad,Average,Okay,False,False
7259,2005-06-02 00:00:00,C,Average,Bad,Average,Great,True,False
4427,2005-06-01 00:00:00,D,Average,Intermediate,Average,Intermediate,True,True
